iter	AUC	Logloss
0	0.9637499782	0.5542217625
1	0.9670124959	0.4589097618
2	0.9681887392	0.3889910456
3	0.9680467739	0.3426083796
4	0.9685297512	0.3090671777
5	0.9691834596	0.2835044317
6	0.9696266817	0.2647269912
7	0.9696916885	0.2512493819
8	0.9700178945	0.2412282734
9	0.9703006403	0.2326763366
10	0.9706242894	0.2266853611
11	0.9706925087	0.2217617639
12	0.9710501329	0.2173302078
13	0.9711378734	0.2140612931
14	0.9714667761	0.211279434
15	0.9715789002	0.2089130942
16	0.9717493219	0.2069051057
17	0.9719751191	0.20498322
18	0.9720821383	0.2035754761
19	0.972170226	0.2023384314
20	0.9722944661	0.2010862574
21	0.9724094455	0.2003055523
22	0.9726019397	0.1993291385
23	0.9727197516	0.1987784333
24	0.9728341144	0.197970627
25	0.9729243265	0.1973707305
26	0.97303692	0.1968604553
27	0.9731751887	0.19622117
28	0.9732312488	0.1958470949
29	0.9733917057	0.195220923
30	0.9734903318	0.1947179833
31	0.9735603068	0.1944656934
32	0.9736498886	0.1941374998
33	0.9737052436	0.1938699998
34	0.9738131668	0.1934799927
35	0.9739059127	0.1931731611
36	0.9740036693	0.1928457444
37	0.9740798766	0.1925227432
38	0.9741970814	0.1921596649
39	0.9742411952	0.191997256
40	0.9742998191	0.1917911254
41	0.9743335068	0.1916375745
42	0.9743835188	0.1914514138
43	0.9744812354	0.1911332728
44	0.9745409239	0.1909201368
45	0.9745978705	0.1907475556
46	0.9746627367	0.1905195955
47	0.9746972265	0.1903766329
48	0.9747436215	0.1901966514
49	0.9748006924	0.1899570875
50	0.9748489933	0.1897879218
51	0.9749007904	0.1895892156
52	0.9749424125	0.1894190968
53	0.9750023705	0.1892130362
54	0.9750346687	0.1891005256
55	0.9751059998	0.1888569535
56	0.975132809	0.1887560131
57	0.9751648662	0.1886279517
58	0.9751881065	0.1885349418
59	0.9752201473	0.1884198457
60	0.9752558297	0.1882873983
61	0.9753194969	0.188074444
62	0.9753638865	0.1878947934
63	0.9754046071	0.1877626387
64	0.9754391636	0.1876421513
65	0.9754787717	0.1874804574
66	0.9755260239	0.1872657585
67	0.9755588456	0.187166341
68	0.9755867705	0.1870739503
69	0.9755970661	0.1870241837
70	0.9756327215	0.1869174067
71	0.975672745	0.1868014305
72	0.975706074	0.1866592062
73	0.9757213187	0.1865813255
74	0.9757503622	0.1864984477
75	0.9757797663	0.1863616088
76	0.9758164494	0.1862406583
77	0.9758420743	0.1861379313
78	0.9758640625	0.1860624193
79	0.9758956436	0.1859633833
80	0.9759249921	0.1858580128
81	0.9759466743	0.185792156
82	0.9759749436	0.1856886224
83	0.9759909872	0.1856396811
84	0.9760015936	0.1855736431
85	0.9760284798	0.1854742654
86	0.9760610994	0.1853482151
87	0.9760862713	0.1852632376
88	0.9761173045	0.1851809958
89	0.9761487821	0.1850783162
90	0.9761656605	0.1850185073
91	0.9761859303	0.1849532444
92	0.9762151503	0.1848364067
93	0.9762273451	0.1847980985
94	0.9762641013	0.1846780802
