iter	Passed	Remaining
0	2023	3033771
1	3647	2732030
2	5107	2548761
3	6630	2479847
4	8027	2400255
5	9436	2349614
6	11001	2346517
7	12424	2317205
8	13872	2298180
9	15370	2290186
10	16798	2273884
11	18601	2306603
12	19909	2277386
13	21486	2280600
14	23072	2284161
15	24656	2286900
16	26130	2279499
17	27591	2271663
18	28834	2247571
19	30354	2246245
20	31715	2233680
21	33348	2240401
22	34782	2233615
23	36077	2218789
24	37892	2235645
25	39785	2255554
26	41685	2274188
27	43555	2289788
28	44924	2278763
29	46639	2285343
30	48479	2297322
31	49889	2288673
32	51234	2277599
33	52473	2262544
34	53943	2257929
35	55356	2251164
36	57165	2260357
37	59065	2272484
38	60847	2279445
39	62308	2274265
40	64047	2279161
41	65430	2271375
42	66795	2263286
43	68285	2259620
44	69724	2254423
45	71434	2257944
46	73115	2260354
47	74936	2266836
48	76835	2275280
49	78743	2283553
50	80656	2291604
51	82146	2287470
52	84026	2294076
53	85806	2297720
54	87269	2292801
55	89053	2296311
56	90687	2295834
57	92425	2297891
58	94192	2300530
59	95904	2301697
60	97679	2304270
61	99459	2306811
62	101219	2308776
63	103087	2313030
64	105105	2320405
65	106865	2321886
66	108377	2317976
67	109859	2313513
68	111470	2311803
69	112952	2307466
70	114455	2303614
71	115915	2298989
72	117286	2292701
73	119078	2294683
74	120862	2296393
75	122320	2291894
76	123974	2291108
77	125904	2295333
78	127392	2291457
79	128894	2287880
80	130383	2284119
81	132145	2285158
82	134026	2288137
83	135608	2285966
84	137275	2285240
85	138883	2283496
86	140541	2282583
87	142224	2282057
88	143692	2278090
89	145426	2278347
90	147305	2280812
91	148729	2276207
92	150487	2276723
93	152075	2274657
94	153709	2273276
95	155199	2269787
96	156483	2263363
97	158219	2263510
98	159840	2261982
99	161600	2262401
100	163122	2259489
101	164570	2255586
102	166489	2258116
103	168131	2256839
104	169758	2255366
105	171278	2252478
106	172890	2250805
107	174843	2253537
108	176455	2251826
109	178281	2252826
110	180028	2252785
111	181790	2252905
112	183479	2252093
113	185057	2249908
114	186635	2247737
